endTime,artistName,trackName,msPlayed
2023-12-24 10:32,Karan Aujla,Softly,155161
2023-12-24 10:34,AP Dhillon,TERE TE,114418
2023-12-24 10:39,King,Tu Aake Dekhle,270000
2023-12-24 10:42,Diljit Dosanjh,Lemonade,166666
2023-12-24 10:45,Maninder Buttar,Ik Tera,160768
2023-12-24 10:48,Rashid Ali,Kabhi Kabhi Aditi,218836
2023-12-24 10:51,Seedhe Maut,Khatta Flow,152415
2023-12-24 10:53,AP Dhillon,True Stories,117972
2023-12-24 10:57,Diljit Dosanjh,Hass Hass,29865
2023-12-24 10:57,Aditya Rikhari,Faasle,221988
2023-12-24 18:18,Talha Anjum,Downers At Dusk,174556
2023-12-24 18:19,Young Stunners,Gumaan,16207
2023-12-24 18:22,Young Stunners,Afsanay,228620
2023-12-24 18:26,Sharn,Mi Amor,203048
2023-12-24 18:32,Satinder Sartaaj,Udaarian,342585
2023-12-24 18:33,AP Dhillon,TERE TE,114418
2023-12-24 18:36,Karan Aujla,Softly,155161
2023-12-24 18:39,Param Singh,Daru Badnaam,185333
2023-12-24 18:41,Cheema Y,California Love,124478
2023-12-24 18:53,Pav Dharia,Na Ja,124360
2023-12-24 19:18,JVKE,golden hour,203220
2023-12-26 16:27,Karan Aujla,Softly,155161
2023-12-26 16:38,Diljit Dosanjh,Hass Hass,17658
2023-12-30 14:57,Seedhe Maut,Khatta Flow,152415
2023-12-30 15:10,KR$NA,Hola Amigo,195784
2023-12-30 19:44,Aditya Rikhari,Samjho Na,6900
2023-12-30 19:44,Anuv Jain,Husn,2010
2023-12-30 19:44,Anuv Jain,Husn,217894
2023-12-30 19:47,Anuv Jain,Baarishein,207312
2023-12-30 19:51,Anuv Jain,Alag Aasmaan,212750
2023-12-30 19:55,Anuv Jain,Gul,217250
2023-12-30 19:58,Anuv Jain,Mazaak,212062
2023-12-30 20:11,Anuv Jain,Mishri,94945
2023-12-30 22:06,Badal,Dream Girl,152281
2023-12-30 22:06,Semicolon,Dilli Aali Chori,7270
2023-12-30 22:09,Paradox,Chhore Ncr Aale,149042
2023-12-30 22:12,Badal,Dream Girl,198117
2023-12-30 22:21,Badal,Dream Girl,33547
2023-12-31 08:42,Intense,Sahiba,244198
2023-12-31 08:46,Sharn,Mi Amor,203048
2023-12-31 08:48,Satinder Sartaaj,Udaarian,134818
2023-12-31 09:01,OneRepublic,Counting Stars,109303
2023-12-31 09:12,Gurinder Gill,Don't Test,135529
2023-12-31 09:18,Satinder Sartaaj,Udaarian,342585
2023-12-31 09:20,AP Dhillon,TERE TE,114418
2023-12-31 09:23,Vicky,Top Notch Gabru,158294
2023-12-31 09:25,Shubh,OG,133668
2023-12-31 13:47,Gurinder Gill,NETWORK,91965
2023-12-31 13:48,Gurinder Gill,WAKE UP,46962
2023-12-31 13:50,Gurinder Gill,FOREVER,112767
2023-12-31 13:51,Gurinder Gill,BREATHE,70250
2023-12-31 13:53,Deepak Rathore Project,Tuta Pull Wahan,5488
2023-12-31 13:55,Diljit Dosanjh,Case,102800
2023-12-31 13:55,CKay,love nwantiti (ah ah ah),437
2023-12-31 14:01,Atif Aslam,Woh Lamhe Woh Baatein,310350
2023-12-31 14:05,Satinder Sartaaj,Udaarian,8014
2023-12-31 14:05,OneRepublic,Counting Stars,257266
2023-12-31 14:06,AP Dhillon,TERE TE,1610
2023-12-31 14:06,hazel,hotline bling (billie version),6690
2023-12-31 14:08,Rosa Linn,SNAP,123478
2023-12-31 14:10,OneRepublic,I Ain't Worried,138264
2023-12-31 14:11,Pankaj Udhas,"Na Kajare Ki Dhar, Pt. 1 (With Jhankar Beats)",73588
2023-12-31 14:15,Kumar Sanu,Tumsa Koi Pyaara,224406
2023-12-31 14:19,Anuv Jain,Husn,217894
2023-12-31 14:21,Kidjaywest,Funk Song,172352
2023-12-31 14:22,Pav Dharia,Na Ja,5391
2023-12-31 14:22,Seedhe Maut,Khatta Flow,1961
2023-12-31 14:25,AUR,Tu hai kahan,216775
2023-12-31 14:25,Taimour Baig,Long time no see,8404
2023-12-31 14:30,Sharn,Mi Amor,20473
2023-12-31 14:30,Talha Anjum,Downers At Dusk,256000
2023-12-31 14:34,Talha Anjum,Downers At Dusk,256000
2023-12-31 14:38,Sharn,Mi Amor,203048
2023-12-31 14:40,Karan Aujla,Softly,155161
2023-12-31 14:42,AP Dhillon,TERE TE,114418
2023-12-31 14:44,Diljit Dosanjh,Hass Hass,90095
2023-12-31 14:44,Kidjaywest,Funk Song,1414
2023-12-31 14:54,King,Tu Aake Dekhle,920
2023-12-31 17:42,Gurinder Gill,FOREVER,837
2023-12-31 17:45,Satinder Sartaaj,Udaarian,1373
2023-12-31 17:45,AP Dhillon,Droptop,24113
2023-12-31 17:45,Panjabi MC,Dhol Jageero Da,166360
2023-12-31 17:46,wzsound,Song of Denise,9380
2023-12-31 17:47,Sapna Choudhary,Teri ankhya ka yo kajal,4450
